Name,Tons Delivered,Tons Sold,Method,Unnamed: 4
Skyrenu,0,20,Direct Air Carbon Capture and Storage (DACCS),View
Yama Carbon,0,134,Direct Air Carbon Capture and Storage (DACCS),View
Takachar,0,2417,Biochar Carbon Removal (BCR),View
Nūxsen,0,2,Direct Air Carbon Capture and Storage (DACCS),View
Emergent Waste Solution,0,50,Biochar Carbon Removal (BCR),View
Bio Restorative Ideas,0,3290,Biochar Carbon Removal (BCR),View
CO₂ Energie | Regionalwerke AG Baden,0,21800,Bioenergy with Carbon Capture and Storage (BECCS),View
Lillianah Technologies,0,150,Marine Biomass Sinking,View
InterEarth,0,30088,Biomass Direct Storage,View
Silicate,0,2734,Enhanced Weathering,View
Alithic,0,285,Direct Air Carbon Capture and Storage (DACCS),View
Airhive,0,943,Direct Air Carbon Capture and Storage (DACCS),View
Flux Carbon,0,1682,Enhanced Weathering,View
Aquarry,0,500,Ocean Alkalinity Enhancement,View
Drax,0,27000,Bioenergy with Carbon Capture and Storage (BECCS),View
Holocene,0,100492,Direct Air Carbon Capture and Storage (DACCS),View
The Next 150,0,117500,Biochar Carbon Removal (BCR),View
Vycarb,0,658,Ocean Alkalinity Enhancement,View
44.01,0,6023,In-situ Mineralization,View
EDAC Labs,0,317,Enhanced Weathering,View
Cella,0,2542,In-situ Mineralization,View
Applied Carbon,0,82530,Biochar Carbon Removal (BCR),View
Arca,0,664,Surficial Mineralization,View
Exterra Carbon Solutions,0,1100,Ex-situ Mineralization,View
Deep Sky,0,10000,Direct Air Carbon Capture and Storage (DACCS),View
agriCARBON,0,6001,Biochar Carbon Removal (BCR),View
Elimini,0,3130,Bioenergy with Carbon Capture and Storage (BECCS),View
Spiritus,0,974,Direct Air Carbon Capture and Storage (DACCS),View
Terradot,0,301998,Enhanced Weathering,View
Banyu Carbon,0,360,Direct Ocean Removal (DOR),View
Carbon Limit,0,68,Ex-situ Mineralization,View
Arukah,0,56604,Biochar Carbon Removal (BCR),View
DarkBlack Carbon,0,8,Biochar Carbon Removal (BCR),View
Sustaera,0,5959,Direct Air Carbon Capture and Storage (DACCS),View
Nellie Technologies,0,17500,Direct Air Carbon Capture and Storage (DACCS),View
Carbo Kollerup,0,600,Biochar Carbon Removal (BCR),View
Mission Zero,0,866,Direct Air Carbon Capture and Storage (DACCS),View
AtmosClear,0,6750000,Bioenergy with Carbon Capture and Storage (BECCS),View
Pull To Refresh,0,1,Marine Biomass Sinking,View
The Carbon Removers,0,3498,Bioenergy with Carbon Capture and Storage (BECCS),View
Heimdal,0,30,Direct Air Carbon Capture and Storage (DACCS),View
RepAir,0,199,Direct Air Carbon Capture and Storage (DACCS),View
Bio-Logical,0,12633,Biochar Carbon Removal (BCR),View
Carbon To Stone,0,1444,Enhanced Weathering,View
Restord Ltd,0,50,Biochar Carbon Removal (BCR),View
Tambora Carbon Removal,0,4440,Enhanced Weathering,View
Capture6,0,1063,Direct Air Carbon Capture and Storage (DACCS),View
Seaweed Generation,0,0,Marine Biomass Sinking,View
Hafslund Celsio,0,99998,Bioenergy with Carbon Capture and Storage (BECCS),View
Towing,0,210,Biochar Carbon Removal (BCR),View
Alt Carbon,0,11851,Enhanced Weathering,View
Inherit Carbon Solutions,0,68000,Bioenergy with Carbon Capture and Storage (BECCS),View
BioCirc,0,1000,Bioenergy with Carbon Capture and Storage (BECCS),View
Carbonity,0,36000,Biochar Carbon Removal (BCR),View
Silica,0,1266,Enhanced Weathering,View
CREW,0,72492,Enhanced Weathering,View
Ebb Carbon,0,1589,Direct Ocean Removal (DOR),View
280 Earth,0,61571,Direct Air Carbon Capture and Storage (DACCS),View
ARC,0,90,Bioenergy with Carbon Capture and Storage (BECCS),View
Calcite by 8 Rivers Capital & Origen,0,278,Direct Air Carbon Capture and Storage (DACCS),View
CarbonBlue,0,400,Direct Ocean Removal (DOR),View
Travertine,0,365,Enhanced Weathering,View
Gigablue,0,200000,Direct Ocean Removal (DOR),View
